name,date_of_birth,height,weight,spike,block,position_number,country,age
Aleksandra Cirovic,30/09/1997,175,57,285,275,1,24,23
Sara Lozo,29/04/1997,186,61,295,290,4,24,23
Katarina Marinkovic,04/04/1996,186,72,298,285,2,24,24
Jelena Vignjevic,07/06/1996,180,63,285,280,1,24,24
Maja Aleksic,06/06/1997,188,72,290,285,3,24,23
Bojana Milenkovic,06/03/1997,185,70,294,288,2,24,23
Aleksandra Tadic,24/12/1997,174,60,270,265,6,24,23
Sara Vucicevic,29/04/1997,186,66,287,282,3,24,23
Milena Dimic,31/08/1997,170,64,255,250,6,24,23
Marija Vujnovic,11/05/1997,182,65,290,276,2,24,23
Leslie Angélica Lopez Flores,13/02/1996,169,78,198,190,6,19,24
Maria Fernanda Rodriguez Gomez,23/06/1997,185,80,287,280,4,19,23
Janeth Alejandra Vargas Guevara,25/07/1997,169,68,200,210,1,19,23
Maria Elena Aguilera,08/06/1997,153,55,260,240,1,19,23
Miriam Arleth Bojorquez Ruiz,14/12/1997,164,66,195,200,2,19,23
Montserrat Castro Narvaez,12/12/1996,199,85,270,268,3,19,24
Fernanda Bañuelos,19/03/1997,186,70,303,285,2,19,23
Kitzia Adonay Corrales Hernandez,12/02/1996,178,71,290,277,4,19,24
Mitzy Natalia Gonzalez Guzman,03/08/1997,168,75,211,209,2,19,23
Aidachi Attilah Aguero Aguilera,19/03/1999,177,69,304,295,2,31,21
Kitania Medina Torres,24/02/1999,186,77,308,295,4,31,21
Anaila Martinez Chaviano,20/03/1999,184,70,320,310,1,31,21
Sonia Beatriz Romero Espinosa,02/08/1997,183,70,301,288,1,31,23
Anet Alfonso Benitez,26/06/1996,172,54,225,222,4,31,24
Haiping Sun,23/05/1996,180,65,300,292,1,5,24
Mingyuan Hu,17/05/1996,187,69,305,297,3,5,24
Zixuan Meng,18/11/1996,180,62,298,290,6,5,24
Qingqing Du,18/12/1996,189,72,312,300,2,5,24
Qian Zhang,20/02/1997,193,70,313,302,3,5,23
Jiayi Huang,16/08/1996,173,60,285,275,6,5,24
Wanqianbai Rong,01/01/1997,184,75,304,297,1,5,23
Yuanyuan Wang,14/07/1997,195,75,312,300,3,5,23
Xiangyu Gong,21/04/1997,186,72,313,302,4,5,23
Xinyi Zhou,17/03/1997,187,69,307,300,2,5,23
Yi Yang,19/03/1997,184,70,308,300,4,5,23
Mayar Mohamed,05/02/2000,186,78,288,279,3,29,20
Mai Moustafa,01/10/1996,175,63,280,269,2,29,24
