name,date_of_birth,age,height,weight,spike,block,age_in_2018
Ekaterina Efimova,03/07/1993,27,192,70,305.0,295,25
Natalia Krotkova,01/07/1992,28,185,65,305.0,295,26
Iuliia Kutiukova,30/03/1989,31,183,74,296.0,299,29
Irina Koroleva,04/10/1991,29,196,78,305.0,290,27
Tatiana Romanova,09/09/1994,26,180,69,290.0,275,24
Nataliya Goncharova,01/06/1989,31,194,75,315.0,306,29
Alla Galkina,15/04/1992,28,178,65,295.0,290,26
Ekaterina Pankova,02/02/1990,30,178,64,290.0,285,28
Ekaterina Lyubushkina,02/01/1990,30,188,81,300.0,285,28
Daria Ryseva,05/03/1998,22,175,69,282.0,266,20
Evgeniya Startseva,12/02/1989,31,185,68,294.0,290,29
Irina Fetisova,07/09/1994,26,190,76,307.0,286,24
Irina Voronkova,20/10/1995,25,190,84,305.0,290,23
Natalia Malykh,08/12/1993,27,187,65,308.0,297,25
Kseniia Parubets,31/10/1994,26,183,64,300.0,286,24
Olga Biryukova,19/09/1994,26,193,74,300.0,283,24
Daria Malygina,04/04/1994,26,202,82,317.0,305,24
Anna Kotikova,13/10/1999,21,185,71,306.0,300,19
Angelina Lazarenko,13/04/1998,22,193,80,320.0,305,20
Ekaterina Ulanova,05/08/1986,34,172,61,298.0,290,32
Wipawee Srithong,28/01/1999,21,174,65,288.0,266,19
Piyanut Pannoy,10/11/1989,31,171,62,280.0,275,29
Pornpun Guedpard,05/05/1993,27,170,63,288.0,279,25
Thatdao Nuekjang,03/02/1994,26,184,72,308.0,296,24
Pleumjit Thinkaow,09/11/1983,37,180,67,303.0,283,35
Onuma Sittirak,13/06/1986,34,175,72,304.0,285,32
Hattaya Bamrungsuk,12/08/1993,27,180,71,292.0,282,25
Watchareeya Nuanjam,22/07/1996,24,177,64,292.0,279,22
Jarasporn Bundasak,01/03/1993,27,181,65,291.0,283,25
Wilavan Apinyapong,06/06/1984,36,174,70,294.0,282,34
Wanitchaya Luangtonglang,08/10/1992,28,177,60,300.0,275,26
Tapaphaipun Chaisri,29/11/1989,31,168,70,295.0,276,29
Nootsara Tomkom,07/07/1985,35,169,57,289.0,278,33
Chitaporn Kamlangmak,17/03/1996,24,184,74,290.0,282,22
Malika Kanthong,08/01/1987,33,178,65,292.0,278,31
Pimpichaya Kokram,16/06/1998,22,178,62,293.0,283,20
Tichaya Boonlert,14/02/1997,23,179,64,293.0,284,21
Ajcharaporn Kongyot,18/06/1995,25,178,65,298.0,287,23
Chatchu-On Moksri,06/11/1999,21,178,58,298.0,290,19
Supattra Pairoj,27/06/1990,30,160,58,275.0,265,28
Thanacha Sooksod,26/05/2000,20,180,70,283.0,275,18
Hathairat Jarat,09/02/1996,24,182,65,286.0,277,22
Hannah Floyd,26/04/1997,23,183,58,309.0,304,21
Jalicia Ross,26/07/1984,36,185,72,308.0,270,34
Channon Thompson,29/03/1994,26,181,72,289.0,277,24
Kelly-Anne Billingy,15/05/1986,34,190,87,316.0,303,32
Delicia Pierre,11/10/1991,29,180,79,301.0,285,27
Sinead Jack,08/11/1993,27,198,82,310.0,304,25
Kiune Fletcher,14/05/2002,18,181,64,300.0,265,16
Darlene Ramdin,05/08/1989,31,187,89,286.0,281,29
Taija Thomas,24/10/1996,24,183,66,315.0,280,22
Afesha Olton,22/05/1992,28,165,60,200.0,185,26
Renele Forde,06/08/1990,30,190,82,304.0,295,28
Mikela Mc Gillvery,16/11/1999,21,192,88,260.0,250,19
Rejeanne Wallace,14/05/1996,24,176,76,307.0,301,22
Latisha Morain,28/06/1997,23,165,65,185.0,175,21
Krystle Esdelle,01/08/1984,36,186,67,329.0,299,34
Shakeema Lake,25/08/2000,20,180,70,304.0,290,18
Alexis Aaliyah,20/08/1999,21,181,68,286.0,273,19
Afiya Alexander,15/04/2001,19,177,59,220.0,210,17
Rayquelle Dickson,22/10/2001,19,161,56,272.0,270,17
