name,link,date_of_birth,age,height,weight,spike,block,age_in_2018
Ni Yan,/en/competition/teams/chn-china/players/ni-yan?id=69279,02/03/1987,33,192,74,317.0,306,31
Mengjie Wang,/en/competition/teams/chn-china/players/mengjie-wang?id=69277,14/11/1995,25,172,65,289.0,280,23
Yanhan Liu,/en/competition/teams/chn-china/players/yanhan-liu?id=69275,19/01/1993,27,188,75,315.0,305,25
Fang Duan,/en/competition/teams/chn-china/players/fang-duan?id=69268,26/12/1994,26,186,73,301.0,296,24
Yi Gao,/en/competition/teams/chn-china/players/yi-gao?id=69269,22/07/1998,22,193,66,304.0,298,20
Zixuan Meng,/en/competition/teams/chn-china/players/zixuan-meng?id=69276,18/11/1996,24,180,62,298.0,290,22
Claudia Hernandez Aguila,/en/competition/teams/cub-cuba/players/claudia-hernandez-aguila?id=67901,09/01/1997,23,181,78,225.0,223,21
Regla Rainierys Gracia Gonzalez,/en/competition/teams/cub-cuba/players/regla-rainierys-gracia-gonzalez?id=67900,28/05/1993,27,177,67,301.0,282,25
Lianny Tamayo Canton,/en/competition/teams/cub-cuba/players/lianny-tamayo-canton?id=67913,30/04/1999,21,178,58,295.0,290,19
Yamila Hernandez Santas,/en/competition/teams/cub-cuba/players/yamila-hernandez-santas?id=67902,08/11/1992,28,182,69,301.0,285,26
Daymara Lescay Cajigal,/en/competition/teams/cub-cuba/players/daymara-lescay-cajigal?id=67903,05/09/1992,28,184,72,310.0,305,26
Evilania Martinez Luis,/en/competition/teams/cub-cuba/players/evilania-martinez-luis?id=67997,11/01/2000,20,184,71,305.0,300,18
Diaris Perez Ramos,/en/competition/teams/cub-cuba/players/diaris-perez-ramos?id=67910,16/11/1998,22,182,75,304.0,295,20
Dayessi Luis Ruiz,/en/competition/teams/cub-cuba/players/dayessi-luis-ruiz?id=67904,23/10/1996,24,170,60,288.0,248,22
Emily Borrell Cruz,/en/competition/teams/cub-cuba/players/emily-borrell-cruz?id=67898,19/02/1992,28,167,55,270.0,260,26
Gretell Elena Moreno Borrero,/en/competition/teams/cub-cuba/players/gretell-elena-moreno-borrero?id=67907,30/01/1998,22,183,68,287.0,280,20
Ailama Cese Montalvo,/en/competition/teams/cub-cuba/players/ailama-cese-montalvo?id=67899,29/10/2000,20,188,58,322.0,308,18
Yamisleydis Viltres Pacheco,/en/competition/teams/cub-cuba/players/yamisleydis-viltres-pacheco?id=67915,26/07/2001,19,189,73,247.0,244,17
Jessica Aguilera Carbajal,/en/competition/teams/cub-cuba/players/jessica-aguilera-carbajal?id=67897,25/05/1999,21,184,68,311.0,302,19
Kitania Medina Torres,/en/competition/teams/cub-cuba/players/kitania-medina-torres?id=67906,24/02/1999,21,186,77,308.0,295,19
Odaimis Naomis Leliebre Palma,/en/competition/teams/cub-cuba/players/odaimis-naomis-leliebre-palma?id=67996,16/01/2001,19,175,70,228.0,226,17
Laura Beatriz Suarez Hernandez,/en/competition/teams/cub-cuba/players/laura-beatriz-suarez-hernandez?id=67912,13/12/1998,22,185,75,304.0,292,20
Thalia Moreno Reyes,/en/competition/teams/cub-cuba/players/thalia-moreno-reyes?id=67908,10/04/2002,18,189,76,315.0,308,16
Heidy Margarita Rodriguez Lopez,/en/competition/teams/cub-cuba/players/heidy-margarita-rodriguez-lopez?id=68787,24/06/1993,27,187,66,312.0,308,25
Egli Sabin Terry,/en/competition/teams/cub-cuba/players/egli-sabin-terry?id=67911,25/11/1991,29,187,76,315.0,308,27
Daima Del Rió Preval,/en/competition/teams/cub-cuba/players/daima-del-ri%c3%b3-preval?id=67994,09/09/2000,20,180,77,236.0,234,18
Yaimaris De Los Angeles Garcia Victoria,/en/competition/teams/cub-cuba/players/yaimaris-de-los-angeles-garcia-victoria?id=67995,03/12/2002,18,183,73,265.0,258,16
Ivy May Vila Wittingham,/en/competition/teams/cub-cuba/players/ivy-may-vila-wittingham?id=67914,22/07/2001,19,181,78,235.0,232,17
Serena Ortolani,/en/competition/teams/ita-italy/players/serena-ortolani?id=68935,07/01/1987,33,187,63,320.0,240,31
Laura Melandri,/en/competition/teams/ita-italy/players/laura-melandri?id=68928,31/01/1995,25,184,60,305.0,236,23
Carlotta Cambi,/en/competition/teams/ita-italy/players/carlotta-cambi?id=68918,28/05/1996,24,177,66,302.0,292,22
Rachele Morello,/en/competition/teams/ita-italy/players/rachele-morello?id=68930,07/11/2000,20,185,77,295.0,274,18
Ofelia Malinov,/en/competition/teams/ita-italy/players/ofelia-malinov?id=68927,29/02/1996,24,185,70,304.0,285,22
Monica De Gennaro,/en/competition/teams/ita-italy/players/monica-de-gennaro?id=68922,08/01/1987,33,174,67,292.0,217,31
Sylvia Chinelo Nwakalor,/en/competition/teams/ita-italy/players/sylvia-chinelo-nwakalor?id=68932,12/08/1999,21,180,70,330.0,312,19
Alessia Orro,/en/competition/teams/ita-italy/players/alessia-orro?id=68934,18/07/1998,22,180,74,308.0,231,20
Caterina Bosetti,/en/competition/teams/ita-italy/players/caterina-bosetti?id=68916,02/02/1994,26,179,59,299.0,281,24
Cristina Chirichella,/en/competition/teams/ita-italy/players/cristina-chirichella?id=68919,10/02/1994,26,194,79,322.0,306,24
Anna Danesi,/en/competition/teams/ita-italy/players/anna-danesi?id=68920,20/04/1996,24,198,78,312.0,294,22
Anastasia Guerra,/en/competition/teams/ita-italy/players/anastasia-guerra?id=68925,15/10/1996,24,187,69,312.0,294,22
Sarah Luisa Fahr,/en/competition/teams/ita-italy/players/sarah-luisa-fahr?id=68923,12/09/2001,19,194,84,322.0,306,17
Elena Pietrini,/en/competition/teams/ita-italy/players/elena-pietrini?id=68937,17/03/2000,20,190,73,330.0,306,18
Marina Lubian,/en/competition/teams/ita-italy/players/marina-lubian?id=68926,11/04/2000,20,195,73,318.0,300,18
